taxon	rank	trait_id	trait_name	mean_value	unit	sd	n	origin
Crassulaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Sphagnaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Sphagnaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	8.9	mg/g	0.115470054	2	global mean
Sphagnaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Sphagnaceae	family	3106	Plant height vegetative	0.05	m	NA	1	global mean
Sphagnaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Sphagnaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Dicranaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Dicranaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	7.96	mg/g	NA	1	global mean
Dicranaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Dicranaceae	family	3106	Plant height vegetative	NA	m	NA	0	global mean
Dicranaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Dicranaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Amblystegiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Amblystegiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	6.3	mg/g	0	1	global mean
Amblystegiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Amblystegiaceae	family	3106	Plant height vegetative	NA	m	NA	0	global mean
Amblystegiaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Amblystegiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Meesiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Meesiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Meesiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Meesiaceae	family	3106	Plant height vegetative	NA	m	NA	0	global mean
Meesiaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Meesiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Bryaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Bryaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Bryaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Bryaceae	family	3106	Plant height vegetative	NA	m	NA	0	global mean
Bryaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Bryaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Hylocomiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Hylocomiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	8	mg/g	NA	1	global mean
Hylocomiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Hylocomiaceae	family	3106	Plant height vegetative	0.05	m	NA	1	global mean
Hylocomiaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Hylocomiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Cyperaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	1046.501695	mm^2	1536.331459	918	global mean
Cyperaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	20.46082741	mg/g	8.183712922	1554	global mean
Cyperaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	19.26400315	mm^2/mg	23.94579646	1658	global mean
Cyperaceae	family	3106	Plant height vegetative	0.414834575	m	0.365780854	2255	global mean
Cyperaceae	family	26	Seed dry mass	2.243987295	mg	10.84925433	1910	global mean
Cyperaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.209513899	g/cm^3	0.126825051	37	global mean
Juncaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	674.4077915	mm^2	467.5340541	75	global mean
Juncaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	18.55232407	mg/g	6.236509975	190	global mean
Juncaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	16.78643342	mm^2/mg	9.740701888	270	global mean
Juncaceae	family	3106	Plant height vegetative	0.343503158	m	0.333656721	601	global mean
Juncaceae	family	26	Seed dry mass	0.200585242	mg	0.338597919	494	global mean
Juncaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.208061173	g/cm^3	0.136347791	10	global mean
Menyanthaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	5683.9	mm^2	NA	1	global mean
Menyanthaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	31.68909623	mg/g	12.13516383	5	global mean
Menyanthaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	18.516955	mm^2/mg	1.878442894	4	global mean
Menyanthaceae	family	3106	Plant height vegetative	0.586634	m	0.589239203	20	global mean
Menyanthaceae	family	26	Seed dry mass	1.636244615	mg	1.409947291	30	global mean
Menyanthaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Violaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	1298.626776	mm^2	1127.258054	255	global mean
Violaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	25.71809971	mg/g	7.691030332	278	global mean
Violaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	27.19208921	mm^2/mg	12.45328406	362	global mean
Violaceae	family	3106	Plant height vegetative	1.547968479	m	3.358400157	455	global mean
Violaceae	family	26	Seed dry mass	11.72119752	mg	81.44053673	308	global mean
Violaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.535067843	g/cm^3	0.147452488	77	global mean
Polytrichaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Polytrichaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	10.81008333	mg/g	1.888488686	3	global mean
