taxon	rank	trait_id	trait_name	mean_value	unit	sd	n	origin
Polygonaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	507.8	mm^2	226.3013036	4	arctic mean
Polygonaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	32.74501111	mg/g	9.079618042	50	arctic mean
Polygonaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	17.30989858	mm^2/mg	9.367499718	7	arctic mean
Polygonaceae	family	3106	Plant height vegetative	0.2117	m	0.188985322	6	arctic mean
Polygonaceae	family	26	Seed dry mass	1.1125	mg	0.515113256	4	arctic mean
Polygonaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Saxifragaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Saxifragaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	20.24285714	mg/g	1.703261255	14	arctic mean
Saxifragaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	17.155	mm^2/mg	8.718626612	2	arctic mean
Saxifragaceae	family	3106	Plant height vegetative	0.0225	m	NA	1	arctic mean
Saxifragaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Saxifragaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Cupressaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	15	mm^2	NA	1	arctic mean
Cupressaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	10.95255888	mg/g	5.198267887	17	arctic mean
Cupressaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	7.537817498	mm^2/mg	NA	1	arctic mean
Cupressaceae	family	3106	Plant height vegetative	0.4	m	NA	1	arctic mean
Cupressaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Cupressaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Ophioglossaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Ophioglossaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Ophioglossaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Ophioglossaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Ophioglossaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Ophioglossaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Apiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	9657.1	mm^2	NA	1	arctic mean
Apiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	25.40408525	mg/g	10.68953836	16	arctic mean
Apiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	18.21849865	mm^2/mg	NA	1	arctic mean
Apiaceae	family	3106	Plant height vegetative	0.275	m	0.035355339	2	arctic mean
Apiaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Apiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Caryophyllaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	31.825	mm^2	8.379215357	2	arctic mean
Caryophyllaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	28.8875	mg/g	5.834487981	8	arctic mean
Caryophyllaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	25.09352381	mm^2/mg	3.387192642	5	arctic mean
Caryophyllaceae	family	3106	Plant height vegetative	0.0962875	m	0.098175665	8	arctic mean
Caryophyllaceae	family	26	Seed dry mass	0.17125	mg	0.077928921	4	arctic mean
Caryophyllaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Plantaginaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	49.5	mm^2	NA	1	arctic mean
Plantaginaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	29.92531056	mg/g	2.087930561	4	arctic mean
Plantaginaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	63.31989294	mm^2/mg	48.70536369	2	arctic mean
Plantaginaceae	family	3106	Plant height vegetative	0.04775	m	0.003181981	2	arctic mean
Plantaginaceae	family	26	Seed dry mass	0.07	mg	NA	1	arctic mean
Plantaginaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Amaranthaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Amaranthaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Amaranthaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Amaranthaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Amaranthaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Amaranthaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Equisetaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	124.7666667	mm^2	56.16024691	3	arctic mean
Equisetaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	14.05159385	mg/g	10.34297374	22	arctic mean
Equisetaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	14.9603116	mm^2/mg	7.575414452	4	arctic mean
Equisetaceae	family	3106	Plant height vegetative	0.12	m	NA	1	arctic mean
Equisetaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Equisetaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Polypodiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Polypodiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Polypodiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Polypodiaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Polypodiaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Polypodiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Encalyptaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Encalyptaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Encalyptaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Encalyptaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Encalyptaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Encalyptaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Rubiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	28.35416667	mm^2	12.67632767	18	arctic mean
Rubiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Rubiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	21.80147369	mm^2/mg	6.223946938	18	arctic mean
Rubiaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Rubiaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Rubiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Brassicaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Brassicaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Brassicaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Brassicaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Brassicaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Brassicaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Lamiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Lamiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Lamiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Lamiaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Lamiaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Lamiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Fabaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	642.224	mm^2	729.0013087	11	arctic mean
Fabaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	46.20218064	mg/g	8.920848902	45	arctic mean
Fabaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	23.55171191	mm^2/mg	10.61865025	15	arctic mean
Fabaceae	family	3106	Plant height vegetative	0.16	m	0.089442719	5	arctic mean
Fabaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Fabaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Campanulaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	45.6375	mm^2	14.11490175	10	arctic mean
Campanulaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Campanulaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	23.2851794	mm^2/mg	5.954290666	11	arctic mean
Campanulaceae	family	3106	Plant height vegetative	0.2279	m	0.101964798	2	arctic mean
Campanulaceae	family	26	Seed dry mass	0.07	mg	NA	1	arctic mean
Campanulaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Isoetaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Isoetaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Isoetaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Isoetaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Isoetaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Isoetaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Potamogetonaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	749.7	mm^2	NA	1	arctic mean
Potamogetonaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	33.13839037	mg/g	NA	1	arctic mean
Potamogetonaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	67.28819763	mm^2/mg	NA	1	arctic mean
Potamogetonaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Potamogetonaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Potamogetonaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Urticaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Urticaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Urticaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Urticaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Urticaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Urticaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Malvaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Malvaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Malvaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Malvaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Malvaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Malvaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Scrophulariaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Scrophulariaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Scrophulariaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Scrophulariaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Scrophulariaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Scrophulariaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Orobanchaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	220.5333333	mm^2	65.23588289	6	arctic mean
Orobanchaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	30.02659263	mg/g	12.70051709	64	arctic mean
Orobanchaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	21.02500686	mm^2/mg	4.687889573	9	arctic mean
Orobanchaceae	family	3106	Plant height vegetative	0.098690909	m	0.060469587	11	arctic mean
Orobanchaceae	family	26	Seed dry mass	1.472	mg	2.271710809	5	arctic mean
Orobanchaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Ptilidiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Ptilidiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Ptilidiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Ptilidiaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Ptilidiaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Ptilidiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Nartheciaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Nartheciaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Nartheciaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Nartheciaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Nartheciaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Nartheciaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Hypericaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Hypericaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Hypericaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Hypericaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Hypericaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Hypericaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Oleaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Oleaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Oleaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Oleaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Oleaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Oleaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Onagraceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	2017.8	mm^2	NA	1	arctic mean
Onagraceae	family	14	Leaf nitrogen (N) content per leaf dry mass	19.4140308	mg/g	11.40615529	12	arctic mean
Onagraceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	21.28982822	mm^2/mg	4.423710851	4	arctic mean
Onagraceae	family	3106	Plant height vegetative	0.226666667	m	0.186100331	3	arctic mean
Onagraceae	family	26	Seed dry mass	0.05	mg	NA	1	arctic mean
Onagraceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Sapindaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Sapindaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Sapindaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Sapindaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Sapindaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Sapindaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Haloragaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Haloragaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Haloragaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Haloragaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Haloragaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Haloragaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Dennstaedtiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Dennstaedtiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Dennstaedtiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Dennstaedtiaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Dennstaedtiaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Dennstaedtiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Dryopteridaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Dryopteridaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Dryopteridaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Dryopteridaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Dryopteridaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Dryopteridaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Caprifoliaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Caprifoliaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Caprifoliaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Caprifoliaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Caprifoliaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Caprifoliaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Ulmaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Ulmaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Ulmaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Ulmaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Ulmaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Ulmaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Diapensiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Diapensiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	13.55	mg/g	NA	1	arctic mean
Diapensiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	8.82	mm^2/mg	NA	1	arctic mean
Diapensiaceae	family	3106	Plant height vegetative	0.03325	m	0.009545942	2	arctic mean
Diapensiaceae	family	26	Seed dry mass	0.12	mg	NA	1	arctic mean
Diapensiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Hypnaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Hypnaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Hypnaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Hypnaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Hypnaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Hypnaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Montiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Montiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Montiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Montiaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Montiaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Montiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Ruppiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Ruppiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Ruppiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Ruppiaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Ruppiaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Ruppiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Asteraceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	472.6144309	mm^2	400.0744869	82	arctic mean
Asteraceae	family	14	Leaf nitrogen (N) content per leaf dry mass	28.03009076	mg/g	7.746825581	194	arctic mean
Asteraceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	18.94312261	mm^2/mg	4.870809928	89	arctic mean
Asteraceae	family	3106	Plant height vegetative	0.14902	m	0.102098665	10	arctic mean
Asteraceae	family	26	Seed dry mass	0.9	mg	0.395979797	2	arctic mean
Asteraceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Umbelliferae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Umbelliferae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Umbelliferae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Umbelliferae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Umbelliferae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Umbelliferae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Nymphaeaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Nymphaeaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Nymphaeaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
Nymphaeaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Nymphaeaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Nymphaeaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Typhaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	1156.6	mm^2	NA	1	arctic mean
Typhaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	23.18009978	mg/g	NA	1	arctic mean
Typhaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	36.30319966	mm^2/mg	NA	1	arctic mean
Typhaceae	family	3106	Plant height vegetative	NA	m	NA	0	arctic mean
Typhaceae	family	26	Seed dry mass	NA	mg	NA	0	arctic mean
Typhaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	arctic mean
Hydrocharitaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	arctic mean
Hydrocharitaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	arctic mean
Hydrocharitaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	arctic mean
