timeline_id,bin_early,bin_late,morphotype
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Juniperus communis
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Picea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Equisetum
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Juniperus communis
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Picea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2500,2000,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Picea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Loiseleuria procumbens
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3000,2500,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Picea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Loiseleuria procumbens
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,3500,3000,Juniperus communis
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,4000,3500,Cyperaceae
