location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Lycopodium dubium	Lycopodium clavatum L.	Species	Life > Plantae > Lycopodiophyta > Lycopodiopsida > Lycopodiales > Lycopodiaceae > Lycopodioideae > Lycopodium > Lycopodium clavatum L.	Lycopodium clavatum L.	pollen	percentage	5		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Potentilla-Comarum type	Sibbaldia procumbens L.	Species	Sibbaldia procumbens L.	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Potentilla-Comarum type	Comarum palustre L.	Species	Life > Plantae > Angiosperms > Rosales > Rosaceae > Comarum > Comarum palustre L.	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Potentilla-Comarum type	Potentilla hyparctica Malte	Species	Potentilla hyparctica Malte	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Potentilla-Comarum type	Potentilla nivea L.	Species	Potentilla nivea L.	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Potentilla-Comarum type	Potentilla hookeriana Lehm.	Species	Potentilla hookeriana Lehm.	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Ranunculus sp.	Ranunculus	Genus	Life > Plantae > Angiosperms > Ranunculales > Ranunculaceae > Ranunculus	Ranunculus	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Rumex acetosella	Rumex acetosella L.	Species	Life > Plantae > Angiosperms > Caryophyllales > Polygonaceae > Rumex > Rumex acetosella L.	Rumex acetosella L.	pollen	percentage	1.25		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Saxifraga oppositifolia type	Saxifraga paniculata Mill.	Species	Saxifraga paniculata Mill.	Saxifraga paniculata Mill.;Saxifraga aizoides L.;Saxifraga tricuspidata Rottb.;Saxifraga oppositifolia L.	pollen	percentage	1.11111		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Saxifraga oppositifolia type	Saxifraga aizoides L.	Species	Saxifraga aizoides L.	Saxifraga paniculata Mill.;Saxifraga aizoides L.;Saxifraga tricuspidata Rottb.;Saxifraga oppositifolia L.	pollen	percentage	1.11111		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Saxifraga oppositifolia type	Saxifraga tricuspidata Rottb.	Species	Saxifraga tricuspidata Rottb.	Saxifraga paniculata Mill.;Saxifraga aizoides L.;Saxifraga tricuspidata Rottb.;Saxifraga oppositifolia L.	pollen	percentage	1.11111		
