Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
P. sp. aff. vahliana	ROSACEAE	Potentilla	sp.	aff.	vahliana	641018	P. sp. aff. vahliana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	R	R	-	-
P. borealis	ROSACEAE	Potentilla	borealis			641019	P. borealis	-	-	-	-	-	-	-	-	-	-	s	r	-	r	-	-	-	-	-	-	-	-	-	?	R	R	R
P. petrovskyi	ROSACEAE	Potentilla	petrovskyi			641920	P. petrovskyi	-	-	-	-	-	-	-	-	-	-	r	-	r	-	r	?	-	-	-	-	-	-	-	-	-	R	-
P. czegitunica	ROSACEAE	Potentilla	czegitunica			641021	P. czegitunica	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	-
P. dezhnevii	ROSACEAE	Potentilla	dezhnevii			641022	P. dezhnevii	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	-	R	-
P. psychrophila	ROSACEAE	Potentilla	psychrophila			641023	P. psychrophila	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	-	-	-	-	-	-	-	R	S	S
P. beringensis	ROSACEAE	Potentilla	beringensis			641024	P. beringensis	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	-	-
P. safronovae	ROSACEAE	Potentilla	safronovae			641925	P. safronovae	-	-	-	?	-	-	-	-	-	-	-	r	-	-	-	-	r	-	r	-	r	-	R	R	R	-	-
P. villosa	ROSACEAE	Potentilla	villosa			641026	P. villosa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
P. villosula	ROSACEAE	Potentilla	villosula			641027	P. villosula	-	-	-	-	-	-	-	-	-	-	-	-	f	f	f	s	-	-	-	-	-	-	-	-	S	F	F
P. villosula subsp. congesta	ROSACEAE	Potentilla	villosula	subsp.	congesta	641027a	P. villosula subsp. congesta	-	-	-	-	-	-	-	-	-	-	-	-	-	f	f	-	-	-	-	-	-	-	-	-	S	F	F
P. uniflora	ROSACEAE	Potentilla	uniflora			641028	P. uniflora	-	-	-	-	-	-	r	s	f	r	f	f	f	r	-	-	-	-	-	-	-	-	-	R	F	F	F
P. vulcanicola	ROSACEAE	Potentilla	vulcanicola			641029	P. vulcanicola	-	-	-	-	-	-	-	-	-	-	-	-	f	f	f	f	r	-	-	-	-	-	-	R	F	F	F
P. subvahliana	ROSACEAE	Potentilla	subvahliana			641030	P. subvahliana	-	-	-	-	-	-	?	-	-	-	r	f	s	f	f	f	s	r	r	-	-	-	F	F	F	S	R
P. vahliana	ROSACEAE	Potentilla	vahliana			641031	P. vahliana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	s	-	-	S	S	S	?	-
"P. sp. ""Quebec"""	ROSACEAE	Potentilla	sp.	"""Quebec"""		641032	"P. sp. ""Quebec"""	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	R
P. gorodkovii	ROSACEAE	Potentilla	gorodkovii			641033	P. gorodkovii	-	-	-	-	-	-	-	r	s	-	f	f	-	f	-	-	-	-	-	-	-	-	-	S	F	F	F
P. subgorodkovii	ROSACEAE	Potentilla	subgorodkovii			641034	P. subgorodkovii	-	-	-	-	-	-	-	-	-	-	r	s	-	r	f	f	r	-	-	-	-	-	-	R	F	F	F
P. crebridens subsp. hemicryophila	ROSACEAE	Potentilla	crebridens	subsp.	hemicryophila	641035a	P. crebridens subsp. hemicryophila	-	-	-	-	-	-	-	-	-	-	f	f	f	f	r	s	-	-	-	-	-	-	-	R	F	F	F
P. nivea	ROSACEAE	Potentilla	nivea			641036	P. nivea	-	r	-	s	s	-	f	s	f	r	f	f	s	f	f	f	s	s	r	f	f	-	R	F	F	F	F
P. prostrata	ROSACEAE	Potentilla	prostrata			641037	P. prostrata	-	s	-	-	s	?	-	-	-	-	-	-	-	-	-	-	?	s	-	s	s	-	R	S	F	F	F
P. drymeja	ROSACEAE	Potentilla	drymeja			641038	P. drymeja	-	-	-	-	r	-	f	r	f	-	f	r	f	-	s	r	-	-	-	-	-	-	-	-	S	F	F
P. arenosa subsp. arenosa	ROSACEAE	Potentilla	arenosa	subsp.	arenosa	641039a	P. arenosa subsp. arenosa	-	-	-	-	s	?	f	r	f	r	f	f	f	s	r	f	f	-	f	s	s	-	-	R	R	F	F
P. arenosa taxon nipharga	ROSACEAE	Potentilla	arenosa	taxon	nipharga	641039b	P. arenosa taxon nipharga	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	R	R	R	-	-
P. arenosa subsp. chamissonis	ROSACEAE	Potentilla	arenosa	subsp.	chamissonis	641039c	P. arenosa subsp. chamissonis	-	r	f	s	f	s	-	-	-	-	-	-	-	-	-	-	r	s	?	f	f	-	?	S	F	F	F
P. anjuica	ROSACEAE	Potentilla	anjuica			641040	P. anjuica	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	-
P. macrantha	ROSACEAE	Potentilla	macrantha			641041	P. macrantha	-	-	-	-	r	-	-	-	-	-	f	-	-	r	-	-	-	-	-	-	-	-	-	-	S	S	R
P. nubilans	ROSACEAE	Potentilla	nubilans			641042	P. nubilans	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	R	R	-	-	-
P. tikhomirovii	ROSACEAE	Potentilla	tikhomirovii			641043	P. tikhomirovii	-	-	-	-	r	-	s	r	-	-	f	f	-	r	r	r	-	-	r	-	r	-	?	R	R	R	R
P. tschukotica	ROSACEAE	Potentilla	tschukotica			641044	P. tschukotica	-	-	-	-	-	-	-	r	s	-	f	r	-	-	-	-	-	-	-	-	-	-	-	R	R	R	R
"P. sp. ""Varanger"""	ROSACEAE	Potentilla	sp.	"""Varanger"""		641045	"P. sp. ""Varanger"""	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
P. norvegica	ROSACEAE	Potentilla	norvegica			641046	P. norvegica	-	**	*	-	-	-	**	-	-	-	-	-	-	*	r	r	s	s	-	*	-	-	-	-	-	S	F
P. norvegica subsp. norvegica	ROSACEAE	Potentilla	norvegica	subsp.	norvegica	641946a	P. norvegica subsp. norvegica	-	**	*	-	-	-	**	-	-	-	-	-	-	*	-	-	-	-	-	**	-	-	-	-	-	*	F
P. norvegica subsp. hirsuta	ROSACEAE	Potentilla	norvegica	subsp.	hirsuta	641046b	P. norvegica subsp. hirsuta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	s	s	-	*	-	-	-	-	-	S	F
P. anadyrensis	ROSACEAE	Potentilla	anadyrensis			641047	P. anadyrensis	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	-	-	-	-	-	-	-	-	-	S	F
P. stipularis	ROSACEAE	Potentilla	stipularis			641048	P. stipularis	-	-	-	-	s	s	f	s?	f	s?	f	r	s	f	r	r	-	-	-	-	r	-	-	R	F	F	F
P. rubella	ROSACEAE	Potentilla	rubella			641049	P. rubella	-	-	-	-	-	-	s	r	r	-	s	-	r	-	-	-	-	-	-	-	r	-	-	R	R	R	-
P. glaucophylla	ROSACEAE	Potentilla	glaucophylla			641050	P. glaucophylla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	r	r	-	-	-	R	S	R
P. elegans	ROSACEAE	Potentilla	elegans			641051	P. elegans	-	-	-	-	-	-	-	-	s	-	f	f	f	f	r	s	-	-	-	-	-	-	-	R	F	F	F
P. crantzii	ROSACEAE	Potentilla	crantzii			641052	P. crantzii	f	f	f	s	f	r	-	-	-	-	-	-	-	-	-	-	-	s	-	f	f	-	-	S	F	F	F
P. protea	ROSACEAE	Potentilla	protea			641053	P. protea	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	R	R	R	-	-
P. gelida subsp. boreo-asiatica	ROSACEAE	Potentilla	gelida	subsp.	boreo-asiatica	641054a	P. gelida subsp. boreo-asiatica	-	-	-	-	s	r	f	r	r	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	F	F
P. hyparctica subsp. hyparctica	ROSACEAE	Potentilla	hyparctica	subsp.	hyparctica	641055a	P. hyparctica subsp. hyparctica	-	-	r	f	f	f	f	f	f	f	f	f	s	f	s	s	f	f	f	f	f	S	F	F	F	S	-
P. hyparctica subsp. elatior	ROSACEAE	Potentilla	hyparctica	subsp.	elatior	641055b	P. hyparctica subsp. elatior	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	?	f	f	-	s	?	-	-	-	F	F	F
P. hyparctica subsp. nivicola	ROSACEAE	Potentilla	hyparctica	subsp.	nivicola	641055c	P. hyparctica subsp. nivicola	-	-	-	-	-	-	-	?	?	r	s	s	f	f	?	?	-	-	-	-	-	-	?	R	F	F	F
P. pulviniformis	ROSACEAE	Potentilla	pulviniformis			641056	P. pulviniformis	-	-	-	-	-	-	r	-	r	-	s	r	-	r	-	-	-	-	-	-	-	-	-	R	S	S	?
P. nana	ROSACEAE	Potentilla	nana			641057	P. nana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	S
P. fragiformis	ROSACEAE	Potentilla	fragiformis			641058	P. fragiformis	-	-	-	-	-	-	-	-	-	-	-	-	s	f	r	-	-	-	-	-	-	-	-	-	R	F	F
P. erecta	ROSACEAE	Potentilla	erecta			641059	P. erecta	r	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
P. anserina subsp. anserina	ROSACEAE	Potentilla	anserina	subsp.	anserina	641060a	P. anserina subsp. anserina	f	s	?	-	-	-	-	-	-	-	-	-	-	-	-	b	r	s	-	r	?	-	-	-	-	F	F
P. anserina subsp. yukonensis	ROSACEAE	Potentilla	anserina	subsp.	yukonensis	641060b	P. anserina subsp. yukonensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	b	-	-	-	-	-	-	-	-	b	S
P. anserina subsp. groenlandica	ROSACEAE	Potentilla	anserina	subsp.	groenlandica	641060c	P. anserina subsp. groenlandica	s	f	f	-	r	-	-	-	r	-	s	-	f	f	f	r	s	s	-	f	s	-	-	?	S	F	F
P. anserina subsp. pacifica	ROSACEAE	Potentilla	anserina	subsp.	pacifica	641060d	P. anserina subsp. pacifica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
D. fruticosa subsp. floribunda	ROSACEAE	Dasiphora	fruticosa	subsp.	floribunda	641101a	D. fruticosa subsp. floribunda	-	-	-	-	-	-	-	r	r	-	f	-	f	f	f	f	s	s	-	-	-	-	-	-	S	F	F
C. palustre	ROSACEAE	Comarum	palustre			641201	C. palustre	f	f	f	-	f	f	f	s	f	f	f	-	f	f	f	f	s	f	-	s	r	-	-	-	R	F	F
S. procumbens	ROSACEAE	Sibbaldia	procumbens			641301	S. procumbens	f	f	f	r	s	s	r	-	-	-	-	-	r	f	r	r	r	s	-	f	f	-	-	R	F	F	F
S. tridentata	ROSACEAE	Sibbaldia	tridentata			641302	S. tridentata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	f	s	-	-	?	F	F	F
C. grandiflora	ROSACEAE	Chamaerhodos	grandiflora			641401	C. grandiflora	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	R
F. vesca subsp. vesca	ROSACEAE	Fragaria	vesca	subsp.	vesca	641501a	F. vesca subsp. vesca	s	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
F. vesca subsp. americana	ROSACEAE	Fragaria	vesca	subsp.	americana	641501b	F. vesca subsp. americana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
F. virginiana subsp. virginiana	ROSACEAE	Fragaria	virginiana	subsp.	virginiana	641502a	F. virginiana subsp. virginiana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
F. virginiana subsp. glauca	ROSACEAE	Fragaria	virginiana	subsp.	glauca	641502b	F. virginiana subsp. glauca	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	b	-	-	-	-	-	-	-	b	F
A. alpina	ROSACEAE	Alchemilla	alpina			641601	A. alpina	f	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	-	?	F	F	F
A. faeroeensis	ROSACEAE	Alchemilla	faeroeensis			641602	A. faeroeensis	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. monticola	ROSACEAE	Alchemilla	monticola			641603	A. monticola	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. acutiloba	ROSACEAE	Alchemilla	acutiloba			641604	A. acutiloba	-	-	-	-	*?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*?	*
A. subcrenata	ROSACEAE	Alchemilla	subcrenata			641605	A. subcrenata	-	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	**	-	-	-	-	-	R	F
A. filicaulis subsp. filicaulis	ROSACEAE	Alchemilla	filicaulis	subsp.	filicaulis	641606a	A. filicaulis subsp. filicaulis	s	r	-	**	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	-	?	S	F	F
A. filicaulis subsp. vestita	ROSACEAE	Alchemilla	filicaulis	subsp.	vestita	641606b	A. filicaulis subsp. vestita	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	R	S
A. semispoliata	ROSACEAE	Alchemilla	semispoliata			641607	A. semispoliata	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
A. glomerulans	ROSACEAE	Alchemilla	glomerulans			641608	A. glomerulans	f	f	s	r	s	-	-	-	-	-	-	-	-	-	-	-	-	r	-	f	f	-	-	S	F	F	F
A. borealis	ROSACEAE	Alchemilla	borealis			641609	A. borealis	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
A. obtusiformis	ROSACEAE	Alchemilla	obtusiformis			641610	A. obtusiformis	-	-	r	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. baltica	ROSACEAE	Alchemilla	baltica			641611	A. baltica	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	S
A. wichurae	ROSACEAE	Alchemilla	wichurae			641612	A. wichurae	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	F	F
A. murbeckiana	ROSACEAE	Alchemilla	murbeckiana			641613	A. murbeckiana	-	f	f	-	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
A. samuelssonii	ROSACEAE	Alchemilla	samuelssonii			641614	A. samuelssonii	-	-	-	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	R
A. glabra	ROSACEAE	Alchemilla	glabra			641615	A. glabra	-	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. cunctatrix	ROSACEAE	Alchemilla	cunctatrix			641616	A. cunctatrix	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
A. glabriformis	ROSACEAE	Alchemilla	glabriformis			641617	A. glabriformis	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
A. norvegica	ROSACEAE	Alchemilla	norvegica			641618	A. norvegica	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. mollis	ROSACEAE	Alchemilla	mollis			641619	A. mollis	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	*
S. scopulina	ROSACEAE	Sorbus	scopulina			641701	S. scopulina	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	S
S. aucuparia subsp. aucuparia	ROSACEAE	Sorbus	aucuparia	subsp.	aucuparia	641702a	S. aucuparia subsp. aucuparia	s	s	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
S. aucuparia subsp. glabrata	ROSACEAE	Sorbus	aucuparia	subsp.	glabrata	641702b	S. aucuparia subsp. glabrata	-	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
S. aucuparia subsp. sibirica	ROSACEAE	Sorbus	aucuparia	subsp.	sibirica	641702c	S. aucuparia subsp. sibirica	-	-	-	-	s	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
S. anadyrensis	ROSACEAE	Sorbus	anadyrensis			641703	S. anadyrensis	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	F
S. groenlandica	ROSACEAE	Sorbus	groenlandica			641704	S. groenlandica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	S
S. sambucifolia	ROSACEAE	Sorbus	sambucifolia			641705	S. sambucifolia	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	b	S
A. bartramiana	ROSACEAE	Amelanchier	bartramiana			641801	A. bartramiana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
A. alnifolia	ROSACEAE	Amelanchier	alnifolia			641802	A. alnifolia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
C. uralensis	ROSACEAE	Cotoneaster	uralensis			641901	C. uralensis	-	-	r	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
C. cf. niger	ROSACEAE	Cotoneaster	cf.	niger		641902	C. cf. niger	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
P. padus subsp. padus	ROSACEAE	Prunus	padus	subsp.	padus	642001a	P. padus subsp. padus	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
P. padus subsp. borealis	ROSACEAE	Prunus	padus	subsp.	borealis	642001b	P. padus subsp. borealis	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	F
P. pensylvanica	ROSACEAE	Prunus	pensylvanica			642002	P. pensylvanica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
S. canadensis	ELAEAGNACEAE	Shepherdia	canadensis			650101	S. canadensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	f	r	r	-	-	-	-	-	-	R	F	F
U. dioica subsp. dioica	URTICACEAE	Urtica	dioica	subsp.	dioica	660101a	U. dioica subsp. dioica	*	*	*	**	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	**	*	*	F
U. dioica subsp. sondenii	URTICACEAE	Urtica	dioica	subsp.	sondenii	660101b	U. dioica subsp. sondenii	-	r	r	-	r	b	b	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
U. gracilis	URTICACEAE	Urtica	gracilis			660102	U. gracilis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
U. urens	URTICACEAE	Urtica	urens			660103	U. urens	-	*	*	-	-	**	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	*	S
D. sophia	BRASSICACEAE	Descurainia	sophia			670101	D. sophia	-	**	-	**	*	-	-	-	-	-	-	-	-	-	**	**	-	-	-	**	-	-	-	-	-	*	*
D. sophioides	BRASSICACEAE	Descurainia	sophioides			670102	D. sophioides	-	-	-	-	?	s	s	r	f	r	f	s	r	f	f	f	s	r	-	-	-	-	-	?	S	F	F
D. incana	BRASSICACEAE	Descurainia	incana			670103	D. incana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	*	R
S. alba	BRASSICACEAE	Smelowskia	alba			670201	S. alba	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
S. bifurcata	BRASSICACEAE	Smelowskia	bifurcata			670202	S. bifurcata	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	R
S. media	BRASSICACEAE	Smelowskia	media			670203	S. media	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	-	-	-	-	-	-	R	S
S. porsildii	BRASSICACEAE	Smelowskia	porsildii			670204	S. porsildii	-	-	-	-	-	-	-	-	-	-	r	-	-	s	s	f	-	-	-	-	-	-	-	-	R	S	S
S. johnsonii	BRASSICACEAE	Smelowskia	johnsonii			670205	S. johnsonii	-	-	-	-	-	-	-	-	-	-	r	-	-	-	r	-	-	-	-	-	-	-	-	-	?	R	-
S. borealis	BRASSICACEAE	Smelowskia	borealis			670206	S. borealis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	-	-	-	-	-	-	-	S	S	S
S. pyriformis	BRASSICACEAE	Smelowskia	pyriformis			670207	S. pyriformis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	R
S. parryoides	BRASSICACEAE	Smelowskia	parryoides			670208	S. parryoides	-	-	-	-	-	-	-	-	-	-	f	-	r	f	-	-	-	-	-	-	-	-	-	-	S	F	F
S. jacutica	BRASSICACEAE	Smelowskia	jacutica			670209	S. jacutica	-	-	-	-	-	-	-	-	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
S. czukotica	BRASSICACEAE	Smelowskia	czukotica			670210	S. czukotica	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	-
D. pectinatus	BRASSICACEAE	Dontostemon	pectinatus			670301	D. pectinatus	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	S
A. eschscholtzianus	BRASSICACEAE	Aphragmus	eschscholtzianus			670401	A. eschscholtzianus	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	b	-	-	-	-	-	-	-	-	-	R	S
A. arenosa (subsp. arenosa)	BRASSICACEAE	Arabidopsis	arenosa	(subsp.	arenosa)	670501	A. arenosa (subsp. arenosa)	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	**	-	-	-	-	**	*	S
A. kamtschatica	BRASSICACEAE	Arabidopsis	kamtschatica			670502	A. kamtschatica	-	-	-	-	-	-	-	-	-	-	r	-	r	f	s	r	-	-	-	-	-	-	-	-	R	F	F
A. petraea	BRASSICACEAE	Arabidopsis	petraea			670503	A. petraea	f	-	-	-	f	s	f	s	f	?	s	?	?	s	r	s	-	-	-	-	-	-	R	F	F	F	F
A. petraea subsp. petraea	BRASSICACEAE	Arabidopsis	petraea	subsp.	petraea	670503a	A. petraea subsp. petraea	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F
A. petraea subsp. septentrionalis	BRASSICACEAE	Arabidopsis	petraea	subsp.	septentrionalis	670503b	A. petraea subsp. septentrionalis	-	-	-	-	f	s	f	s	f	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F	F	F
A. petraea subsp. umbrosa	BRASSICACEAE	Arabidopsis	petraea	subsp.	umbrosa	670503c	A. petraea subsp. umbrosa	-	-	-	-	-	r	r	-	f	?	s	?	?	s	r	s	-	-	-	-	-	-	-	-	S	F	F
A. arenicola	BRASSICACEAE	Arabidopsis	arenicola			670504	A. arenicola	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	f	r	s	r	-	R	F	F	F	R
T. bursifolia	BRASSICACEAE	Transberingia	bursifolia			670601	T. bursifolia	-	-	-	-	-	-	?	-	*	s	r	-	-	r	r	r	s	-	r	s	-	-	R	R	S	S	R
E. edwardsii	BRASSICACEAE	Eutrema	edwardsii			670701	E. edwardsii	-	r	s	s	f	s	f	f	f	f	f	f	s	f	f	f	f	f	f	r	s	S	F	F	F	F	S
T. salsuginea	BRASSICACEAE	Thellungiella	salsuginea			670801	T. salsuginea	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R	R
B. linearis	BRASSICACEAE	Braya	linearis			670901	B. linearis	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	R	S	S	F
B. siliquosa	BRASSICACEAE	Braya	siliquosa			670902	B. siliquosa	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
B. humilis subsp. humilis s. lat.	BRASSICACEAE	Braya				670903a	B. humilis subsp. humilis s. lat.	-	-	-	-	-	-	r	r	s	b	r	-	-	r	s	s	r	r	r	r	s	?	S	F	F	F	S
B. humilis subsp. arctica	BRASSICACEAE	Braya	humilis	subsp.	arctica	670903b	B. humilis subsp. arctica	-	-	-	-	-	-	r	r	s	b	r	-	-	r	s	s	r	r	r	-	s	?	S	F	F	F	S
B. humilis subsp. richardsonii	BRASSICACEAE	Braya	humilis	subsp.	richardsonii	670903c	B. humilis subsp. richardsonii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	-	-	-	-	-	-	-	-	-	R	F
B. humilis taxon novae-angliae	BRASSICACEAE	Braya	humilis	taxon	novae-angliae	670903d	B. humilis taxon novae-angliae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	R	R	R
B. humilis taxon intermedia	BRASSICACEAE	Braya	humilis	taxon	intermedia	670903e	B. humilis taxon intermedia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	R	R	-	-
B. humilis subsp. ellesmerensis	BRASSICACEAE	Braya	humilis	subsp.	ellesmerensis	670903f	B. humilis subsp. ellesmerensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	R	R	-	-	-
B. glabella subsp. glabella	BRASSICACEAE	Braya	glabella	subsp.	glabella	670904a	B. glabella subsp. glabella	-	-	-	-	-	-	-	-	-	-	-	r	-	s	s	f	r	-	-	?	?	-	-	R	R	F	S
B. glabella subsp. prostrata	BRASSICACEAE	Braya	glabella	subsp.	prostrata	670904b	B. glabella subsp. prostrata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	R	R	-	-	-
B. glabella subsp. purpurascens	BRASSICACEAE	Braya	glabella	subsp.	purpurascens	670904c	B. glabella subsp. purpurascens	-	r	-	s	f	-	s	s	s	r	r	f	-	r	r	s	f	f	f	r	f	R	F	F	F	S	R
B. thorild-wulffii subsp. thorild-wulffii	BRASSICACEAE	Braya	thorild-wulffii	subsp.	thorild-wulffii	670905a	B. thorild-wulffii subsp. thorild-wulffii	-	-	-	-	-	-	-	-	-	-	-	s	-	?	-	-	s	-	f	r	r	S	S	S	R	-	-
