Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
L. innovatus subsp. innovatus	POACEAE	Leymus	innovatus	subsp.	innovatus	340504a	L. innovatus subsp. innovatus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	-	-	-	-	S	F
L. innovatus subsp. velutinus	POACEAE	Leymus	innovatus	subsp.	velutinus	340504b	L. innovatus subsp. velutinus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	-	-	-	-	-	-	-	-	R	S
H. jubatum	POACEAE	Hordeum	jubatum			340601	H. jubatum	**	-	-	-	-	-	-	-	-	-	**	**	*	**	*	*	r	r	-	-	-	-	-	-	-	R	F
H. brachyantherum	POACEAE	Hordeum	brachyantherum			340602	H. brachyantherum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	*	S
H. brevisubulatum	POACEAE	Hordeum	brevisubulatum			340603	H. brevisubulatum	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	S
B. pumpelliana	POACEAE	Bromopsis	pumpelliana			340701	B. pumpelliana	-	-	r	-	r	r	s	s	f	r	s	f	f	f	s	f	r	-	-	-	-	-	-	R	S	F	F
B. pumpelliana subsp. pumpelliana	POACEAE	Bromopsis	pumpelliana	subsp.	pumpelliana	340701a	B. pumpelliana subsp. pumpelliana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	-	-	-	-	-	-	-	?	S	F
B. pumpelliana subsp. sibirica	POACEAE	Bromopsis	pumpelliana	subsp.	sibirica	340701b	B. pumpelliana subsp. sibirica	-	-	-	-	-	-	-	r	-	r	s	s	f	s	-	-	-	-	-	-	-	-	-	?	S	F	F
B. pumpelliana subsp. taimyrensis	POACEAE	Bromopsis	pumpelliana	subsp.	taimyrensis	340701c	B. pumpelliana subsp. taimyrensis	-	-	r	-	r	-	s	s	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	S	F	F
B. pumpelliana subsp. vogulica	POACEAE	Bromopsis	pumpelliana	subsp.	vogulica	340701d	B. pumpelliana subsp. vogulica	-	-	r	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	S
B. pumpelliana subsp. arctica	POACEAE	Bromopsis	pumpelliana	subsp.	arctica	340701e	B. pumpelliana subsp. arctica	-	-	-	-	-	-	-	-	r	-	r	f	s	f	s	f	s	-	-	-	-	-	-	R	F	F	F
B. pumpelliana subsp. ornans	POACEAE	Bromopsis	pumpelliana	subsp.	ornans	340701f	B. pumpelliana subsp. ornans	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	S
B. pumpelliana subsp. dicksonii	POACEAE	Bromopsis	pumpelliana	subsp.	dicksonii	340701g	B. pumpelliana subsp. dicksonii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	R
