timeline_id	bin_early	bin_late	taxon	rank	taxonomic_tree	taxon_ambiguous_with
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2000	1500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	2500	2000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3000	2500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	3500	3000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4000	3500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	4500	4000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	5000	4500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	5000	4500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	5000	4500	Unverified taxon	Unknown	Unverified taxon	
